op,elapsedTime,diskIOBytes
StoreDeleteObject,2708,0
StoreSetPackageRealm,7667,77
StoreSetObject,26750,869
StoreSetObject,18208,1381
StoreSetObject,17083,652
StoreSetObject,21750,869
StoreSetObject,21958,869
StoreSetObject,24875,869
StoreSetObject,21500,869
StoreSetObject,22042,867
StoreSetObject,21958,866
StoreSetObject,17459,1380
StoreSetObject,13375,1381
StoreSetObject,13250,1381
StoreSetObject,17583,1381
StoreSetObject,13541,1381
StoreSetObject,16208,1381
StoreSetObject,12000,1381
StoreSetObject,12042,1381
StoreSetObject,14834,1381
StoreSetObject,11750,1381
StoreSetObject,11750,1381
StoreSetObject,14917,1381
StoreSetObject,13333,1381
StoreSetObject,12542,1381
StoreSetObject,16209,1381
StoreSetObject,13125,1381
StoreSetObject,12125,1381
StoreSetObject,16000,1381
StoreSetObject,12333,1381
StoreSetObject,15459,1381
StoreSetObject,12375,1381
StoreSetObject,72917,3678
StoreSetObject,17500,447
StoreSetObject,97083,4493
StoreSetObject,15250,440
StoreSetObject,14167,483
StoreSetObject,19500,773
StoreSetObject,15833,437
StoreSetObject,18958,773
StoreSetObject,19875,777
StoreSetObject,22000,865
StoreSetObject,23166,863
StoreSetObject,17000,445
StoreSetObject,213541,8702
StoreDeleteObject,3125,0
StoreDeleteObject,2833,0
StoreDeleteObject,2875,0
StoreDeleteObject,3459,0
StoreDeleteObject,3083,0
StoreDeleteObject,2917,0
StoreDeleteObject,2792,0
StoreDeleteObject,2792,0
StoreDeleteObject,3083,0
StoreDeleteObject,2583,0
StoreDeleteObject,2916,0
StoreDeleteObject,2791,0
StoreDeleteObject,3000,0
StoreDeleteObject,2833,0
StoreDeleteObject,2708,0
StoreDeleteObject,2750,0
StoreDeleteObject,2833,0
StoreDeleteObject,2708,0
StoreDeleteObject,2875,0
StoreDeleteObject,2917,0
StoreDeleteObject,3084,0
StoreDeleteObject,2959,0
StoreDeleteObject,6459,0
StoreDeleteObject,3000,0
StoreDeleteObject,2875,0
StoreDeleteObject,2792,0
StoreSetPackageRealm,6500,77
StoreSetObject,19208,1381
StoreSetObject,17208,652
StoreSetObject,24583,868
StoreSetObject,21583,867
StoreSetObject,33042,868
StoreSetObject,24584,866
StoreSetObject,12542,1380
StoreSetObject,12500,1381
StoreSetObject,14875,1381
StoreSetObject,14167,1381
StoreSetObject,13000,1381
StoreSetObject,17083,1381
StoreSetObject,13375,1381
StoreSetObject,14834,1381
StoreSetObject,12708,1381
StoreSetObject,11917,1381
StoreSetObject,15250,1381
StoreSetObject,11792,1381
StoreSetObject,12625,1381
StoreSetObject,15583,1381
StoreSetObject,13917,1381
StoreSetObject,12917,1381
StoreSetObject,15542,1381
StoreSetObject,13459,1381
StoreSetObject,12375,1381
