BenchmarkOpRem_BigInt_4096x64-2              	 1275958	       947.7 ns/op	         0 alloc-gas/op	       832.9 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpRem_BigInt_4096x256-2             	  507944	      2372 ns/op	         0 alloc-gas/op	      2263 ns/op(pure)	    1184 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_4096x256-2             	  445281	      2391 ns/op	         0 alloc-gas/op	      2283 ns/op(pure)	    1184 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_4096x256-2             	  505215	      2368 ns/op	         0 alloc-gas/op	      2260 ns/op(pure)	    1184 B/op	       3 allocs/op
BenchmarkOpBand-2                            	 7414014	       160.1 ns/op	         0 alloc-gas/op	        76.29 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpBand-2                            	 7438460	       159.8 ns/op	         0 alloc-gas/op	        76.15 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpBand-2                            	 7481881	       159.0 ns/op	         0 alloc-gas/op	        75.48 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpBor-2                             	 7481370	       159.5 ns/op	         0 alloc-gas/op	        75.95 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpBor-2                             	 7520103	       159.7 ns/op	         0 alloc-gas/op	        76.02 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpBor-2                             	 7384369	       159.9 ns/op	         0 alloc-gas/op	        76.14 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpXor-2                             	 7360015	       159.9 ns/op	         0 alloc-gas/op	        76.21 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpXor-2                             	 7533602	       160.9 ns/op	         0 alloc-gas/op	        76.38 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpXor-2                             	 7411880	       159.8 ns/op	         0 alloc-gas/op	        76.08 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpShl-2                             	 7027369	       168.3 ns/op	         0 alloc-gas/op	        82.69 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpShl-2                             	 7087768	       168.2 ns/op	         0 alloc-gas/op	        82.07 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpShl-2                             	 7171490	       166.9 ns/op	         0 alloc-gas/op	        81.41 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpShr-2                             	 7066437	       170.1 ns/op	         0 alloc-gas/op	        84.51 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpShr-2                             	 6927667	       171.0 ns/op	         0 alloc-gas/op	        84.74 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpShr-2                             	 6990961	       169.5 ns/op	         0 alloc-gas/op	        83.93 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpEql_Int-2                         	 6860966	       172.8 ns/op	         0 alloc-gas/op	        88.89 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpEql_Int-2                         	 6861139	       171.8 ns/op	         0 alloc-gas/op	        88.02 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpEql_Int-2                         	 6972686	       172.1 ns/op	         0 alloc-gas/op	        88.25 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpEql_String_10-2                   	 4784084	       245.8 ns/op	         0.0000010 alloc-gas/op	       100.4 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_10-2                   	 4816706	       245.6 ns/op	         0.0000010 alloc-gas/op	       100.1 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_10-2                   	 4845463	       244.5 ns/op	         0.0000010 alloc-gas/op	       100.0 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_100-2                  	 4767914	       245.0 ns/op	         0.0000019 alloc-gas/op	        99.80 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_100-2                  	 4830694	       246.9 ns/op	         0.0000019 alloc-gas/op	       100.2 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_100-2                  	 4915468	       243.1 ns/op	         0.0000018 alloc-gas/op	        99.31 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_1000-2                 	 4887832	       243.6 ns/op	         0.0000115 alloc-gas/op	        99.39 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_1000-2                 	 4891508	       243.2 ns/op	         0.0000114 alloc-gas/op	        99.08 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_1000-2                 	 4800589	       243.9 ns/op	         0.0000117 alloc-gas/op	        98.96 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_10000-2                	 4880541	       243.7 ns/op	         0.0000928 alloc-gas/op	        99.45 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_10000-2                	 4819551	       244.2 ns/op	         0.0000940 alloc-gas/op	        99.63 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpEql_String_10000-2                	 4869828	       246.0 ns/op	         0.0000930 alloc-gas/op	       100.4 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpNeq-2                             	 7066599	       167.6 ns/op	         0 alloc-gas/op	        83.85 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpNeq-2                             	 7146894	       168.6 ns/op	         0 alloc-gas/op	        84.72 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpNeq-2                             	 7098111	       167.9 ns/op	         0 alloc-gas/op	        84.10 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpLss-2                             	 7143990	       165.2 ns/op	         0 alloc-gas/op	        80.30 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpLss-2                             	 7483290	       159.9 ns/op	         0 alloc-gas/op	        76.12 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpLss-2                             	 7309414	       161.1 ns/op	         0 alloc-gas/op	        77.08 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpLss_String_10-2                   	 5261122	       227.7 ns/op	         0.0000019 alloc-gas/op	        89.14 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_10-2                   	 5199216	       225.8 ns/op	         0.0000019 alloc-gas/op	        88.14 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_10-2                   	 5204713	       225.9 ns/op	         0.0000019 alloc-gas/op	        88.56 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_100-2                  	 5169445	       231.5 ns/op	         0.0000035 alloc-gas/op	        93.32 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_100-2                  	 5144487	       232.1 ns/op	         0.0000035 alloc-gas/op	        93.43 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_100-2                  	 5152866	       231.8 ns/op	         0.0000035 alloc-gas/op	        93.88 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_1000-2                 	 4624473	       254.7 ns/op	         0.0000242 alloc-gas/op	       118.2 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_1000-2                 	 4677880	       255.3 ns/op	         0.0000239 alloc-gas/op	       118.2 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_1000-2                 	 4692729	       254.9 ns/op	         0.0000239 alloc-gas/op	       118.1 ns/op(pure)	      32 B/op	       2 allocs/op
BenchmarkOpLss_String_10000-2                	 2303971	       518.2 ns/op	         0.0003932 alloc-gas/op	       381.8 ns/op(pure)	      32 B/op	       2 allocs/op
