goos: linux
goarch: amd64
pkg: alloc_bench
cpu: DO-Regular
BenchmarkAlloc_96-4           	10832854	       104.8 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	 8538244	       117.3 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	 9899379	       125.8 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	10108687	       141.9 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	11674226	       116.0 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	 9952452	       118.3 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	10498099	       115.4 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	10445415	       115.0 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	13318278	       120.2 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	 7257388	       146.8 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	 9036994	       125.8 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	11866819	       105.7 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	12769656	       103.5 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	13152350	       106.5 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	11855676	        97.32 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	11827707	       107.4 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	12682830	        90.32 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	10804166	        93.87 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	10668841	       122.2 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	10892353	       121.7 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	 9144381	       121.9 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	10377183	       115.7 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11197503	       103.9 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	13218806	        99.18 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11100570	       105.3 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	10894904	        93.54 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	14400918	        99.52 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	10950717	        93.48 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	10711676	       104.8 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	13784005	        93.52 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11277254	       110.9 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11705052	        99.29 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11632280	       101.5 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	12414758	        95.47 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11790704	       113.2 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11806695	       112.5 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	11807390	        96.66 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-4          	13572565	       102.2 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	10554578	       107.5 ns/op	     128 B/op	       1 allocs/op
